Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_NewRegistration_004,Chrome 120.0.0.0,,,29-01-2024 20:59:37,29-01-2024 21:00:26,49.575s,PASSED
,,,,,,,
Test Cases/TC_Amazon_NewRegistration_004,Chrome 120.0.0.0,,,29-01-2024 21:00:04,29-01-2024 21:00:26,21.923s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,29-01-2024 21:00:04,29-01-2024 21:00:09,4.713s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,29-01-2024 21:00:09,29-01-2024 21:00:15,5.671s,PASSED
"click(findTestObject(""Object Repository/Amazon_NewRegistration_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Start here""))",Chrome 120.0.0.0,,,29-01-2024 21:00:15,29-01-2024 21:00:21,5.846s,PASSED
"setText(findTestObject(""Object Repository/Amazon_NewRegistration_OR/Page_Amazon Registration/input_customerName""), ""tara"")",Chrome 120.0.0.0,,,29-01-2024 21:00:21,29-01-2024 21:00:22,1.494s,PASSED
"setText(findTestObject(""Object Repository/Amazon_NewRegistration_OR/Page_Amazon Registration/input_email""), ""9440327791"")",Chrome 120.0.0.0,,,29-01-2024 21:00:22,29-01-2024 21:00:24,1.406s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_NewRegistration_OR/Page_Amazon Registration/input_password""), ""yApcPZgl258tA4QLdcldiw=="")",Chrome 120.0.0.0,,,29-01-2024 21:00:24,29-01-2024 21:00:24,0.595s,PASSED
"click(findTestObject(""Object Repository/Amazon_NewRegistration_OR/Page_Amazon Registration/inputcontinue""))",Chrome 120.0.0.0,,,29-01-2024 21:00:24,29-01-2024 21:00:26,1.380s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,29-01-2024 21:00:26,29-01-2024 21:00:26,0.709s,PASSED
